Authors,DOI,DataSourceType,FeatureName,UniqueID,Latitude,Longitude,FeatureType,FeatureCategory,ThawType,Imagery,ImageryDates,ImageryResolutionMeters,Aspect,Elevation,MeanElevation,RelativeElevation,Slope,SolarRadiationIndex
Balser & Jorgenson (2013),https://doi.org/10.18739/A2JG7M,Field - published,Cotton_Hollow,116,68.98550598,-150.7171126,Active layer detachment,Active layer detachment,Abrupt,,,,184,308.4453,310.3459916,-1.900679084,10,0.77347494
Balser & Jorgenson (2013),https://doi.org/10.18739/A2JG7M,Field - published,VoTK_Control,118,68.96210624,-150.6675317,Active layer detachment,Active layer detachment,Abrupt,,,,183,344.8203,344.5220745,0.298238025,5,0.740790648
Balser & Jorgenson (2013),https://doi.org/10.18739/A2JG7M,Field - published,Old_Ironslides,123,68.27004723,-157.6844828,Active layer detachment,Active layer detachment,Abrupt,,,,91,766.5469,767.2814937,-0.734618673,3,0.734081561
Balser & Jorgenson (2013),https://doi.org/10.18739/A2JG7M,Field - published,Mafic_Monks,124,68.26650596,-157.473377,Active layer detachment,Active layer detachment,Abrupt,,,,88,677.59375,678.620392,-1.02664204,4,0.740088941
Jorgenson (2013),https://doi.org/10.18739/A2CP5C,Field - published,Limu,1251,67.90360563,-161.4517607,Active layer detachment,Active layer detachment,Abrupt,,,,43,534.4453,535.3059062,-0.860593667,9,0.698181148
Jorgenson (2013),https://doi.org/10.18739/A2CP5C,Field - published,wocr-e1,1260,67.73472913,-161.4063795,Active layer detachment,Active layer detachment,Abrupt,,,,214,503.9922,503.5862436,0.405943854,14,0.731120124
Jorgenson (2013),https://doi.org/10.18739/A2CP5C,Field - published,IMN2-E1,1271,68.54340002,-149.5225205,Active layer detachment,Active layer detachment,Abrupt,,,,2,883.41406,884.0010127,-0.586950238,3,0.678867597
GTN-P ((2015)),https://doi.org/10.1594/PANGAEA.842815,Field - published,Happy Valley 1km,947,69.10000511,-148.4982116,Circumpolar active layer monitoring site,Non-abrupt,Non-abrupt,,,,261,463.52344,462.8975455,0.625892021,1,0.691741932
GTN-P ((2015)),https://doi.org/10.1594/PANGAEA.842815,Field - published,Barrow,948,71.31679968,-156.6039679,Circumpolar active layer monitoring site,Non-abrupt,Non-abrupt,,,,257,1.6875,2.076353362,-0.388853362,3,0.65011795
GTN-P ((2015)),https://doi.org/10.1594/PANGAEA.842815,Field - published,Atqasuk,949,70.45088929,-157.4047122,Circumpolar active layer monitoring site,Non-abrupt,Non-abrupt,,,,281,20.78125,20.97616833,-0.194918332,0,0.681859351
