Authors,DOI,DataSourceType,FeatureName,FeatureType,FeatureCategory,Imagery,ImageryDate,ImageryResolutionMeters,Latitude,Longitude,ThawType,Aspect,Elevation,MeanElevation,RelativeElevation,Slope,SolarRadiation,Geo
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Sam wt,Active layer detachment,Active layer detachment,,,,68.26731,-157.47039,Abrupt,94,672.5,672.6613316,-0.161331623,2,0.726936265,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-157.470373646931,68.26731373220413]}"
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Tim wt,Active layer detachment,Active layer detachment,,,,68.26634,-157.4737,Abrupt,85,678.46094,679.3121761,-0.851238598,2,0.724123543,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-157.47371123360546,68.26633893786864]}"
Abbott & Jones (2013),https://doi.org/10.18739/A23T9D71C,Field - published,Wolf Creek,Active layer detachment,Active layer detachment,,,,67.73215,-161.42069,Abrupt,218,419.97656,424.3285833,-4.352020811,3,0.720222095,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-161.42071164569904,67.73214835647696]}"
Balser & Jorgenson (2013),https://doi.org/10.18739/A2JG7M,Field - published,VoTK,Active layer detachment,Active layer detachment,,,,68.96278,-150.67086,Abrupt,173,356.51562,357.2803112,-0.76468618,11,0.797224795,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-150.67084322159553,68.96277476766186]}"
Balser & Jorgenson (2013),https://doi.org/10.18739/A2JG7M,Field - published,Slopbucket,Active layer detachment,Active layer detachment,,,,67.92515,-161.41811,Abrupt,312,486.25,487.2634927,-1.013492714,10,0.581292307,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-161.41812700031932,67.92515493574153]}"
Balser & Jorgenson (2013),https://doi.org/10.18739/A2JG7M,Field - published,Eli,Active layer detachment,Active layer detachment,,,,67.71618,-161.43026,Abrupt,75,445.6797,447.5587316,-1.879044084,13,0.772518356,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-161.4302339780864,67.71618077459183]}"
Balser & Jorgenson (2013),https://doi.org/10.18739/A2JG7M,Field - published,Saddle,Active layer detachment,Active layer detachment,,,,67.8179,-161.44655,Abrupt,201,757.5547,758.2284867,-0.673799225,6,0.742322983,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-161.4465621705055,67.81790202573657]}"
Balser & Jorgenson (2013),https://doi.org/10.18739/A2JG7M,Field - published,Bear_Patch,Active layer detachment,Active layer detachment,,,,67.73697,-161.42747,Abrupt,165,468.95312,470.7703183,-1.817193269,8,0.794197266,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-161.42745994577936,67.73697878005312]}"
Balser & Jorgenson (2013),https://doi.org/10.18739/A2JG7M,Field - published,Sushi,Active layer detachment,Active layer detachment,,,,67.86342,-161.48044,Abrupt,43,513.9219,512.9555493,0.96632565,12,0.689645009,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-161.48043402205712,67.86341152312713]}"
Balser & Jorgenson (2013),https://doi.org/10.18739/A2JG7M,Field - published,Remora,Active layer detachment,Active layer detachment,,,,67.64853,-161.60562,Abrupt,254,533.1406,533.495294,-0.35466904,7,0.672252618,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-161.60562069283398,67.64852655096713]}"
Balser & Jorgenson (2013),https://doi.org/10.18739/A2JG7M,Field - published,Cotton_Hollow,Active layer detachment,Active layer detachment,,,,68.98551,-150.71714,Abrupt,184,308.4453,310.3459916,-1.900679084,10,0.77347494,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-150.71711257371638,68.9855059753035]}"
Balser & Jorgenson (2013),https://doi.org/10.18739/A2JG7M,Field - published,VoTK_Control,Active layer detachment,Active layer detachment,,,,68.9621,-150.66755,Abrupt,183,344.8203,344.5220745,0.298238025,5,0.740790648,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-150.66753172027362,68.96210624438982]}"
Balser & Jorgenson (2013),https://doi.org/10.18739/A2JG7M,Field - published,Old_Ironslides,Active layer detachment,Active layer detachment,,,,68.27005,-157.68447,Abrupt,91,766.5469,767.2814937,-0.734618673,3,0.734081561,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-157.68448283419784,68.27004723049262]}"
Balser & Jorgenson (2013),https://doi.org/10.18739/A2JG7M,Field - published,Mafic_Monks,Active layer detachment,Active layer detachment,,,,68.26651,-157.47338,Abrupt,88,677.59375,678.620392,-1.02664204,4,0.740088941,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-157.47337700901159,68.26650596247619]}"
Jorgenson (2013),https://doi.org/10.18739/A2CP5C,Field - published,Limu,Active layer detachment,Active layer detachment,,,,67.90361,-161.45175,Abrupt,43,534.4453,535.3059062,-0.860593667,9,0.698181148,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-161.45176067782543,67.90360563282405]}"
Jorgenson (2013),https://doi.org/10.18739/A2CP5C,Field - published,wocr-e1,Active layer detachment,Active layer detachment,,,,67.73473,-161.40637,Abrupt,214,503.9922,503.5862436,0.405943854,14,0.731120124,"{""geodesic"":false,""type"":""Point"",""coordinates"":[-161.40637949155763,67.73472913117243]}"
